危机效果,"若处于危机状态，该生物获得特殊修正值或能力。
示例：
1、NPC的伤害相性改变。
2、NPC造成的伤害可以无视抵抗（甚至无视免疫）。
3、NPC的一种或多种攻击方式获得多重攻击（2）特性。
由于此技能激活时该生物已经受到重伤，所以效果强一些也没关系。"
伤害吸收,"选择NPC已经具有抵抗或免疫相性的一种伤害类型，使其能够吸收该伤害类型。
此技能非常适合元素生物，当受到与自己元素匹配的攻击时，它们会变得越来越强。但同时此技能应该也让该生物额外获得一到两种弱点，可供机智的玩家角色利用。"
伤害免疫,NPC对你所选择且不具有弱点的一种伤害类型免疫。谨慎赋予让生物对物理伤害免疫的能力，因为这是玩家角色在低等级时能造成的最常见的伤害类型。
伤害抵抗,NPC对你所选择的两种伤害类型获得抵抗相性。若你选择了NPC的弱点，那么它不会获得抵抗这种伤害类型能力，而是直接抵消该弱点（此方式仅能抵消来源于NPC物种所带来的弱点）。
最后一搏（限制）,当HP降为O时，NPC可以执行某个特殊行动或攻击。比较经典的案例就是会自毁的机器人或爆炸的火元素生物。设计此技能时可以大胆一些，使其威力较大，但同时也会对该NPC的盟友制造阻碍。若该技能可以造成伤害，应该是少量伤害。
飞行（限制）,"NPC拥有飞行或浮空的能力。除了最显而易见的机动性优势之外，飞行NPC可以对其他飞行目标进行近战攻击，而没有飞行能力的角色无法对飞行NPC进行近战攻击，除非攻击者也获得飞行能力，或有其他方法可以触
及飞行目标。
若该NPC受到任何自身弱点类型的伤害，则被迫立刻落地，失去飞行技能的效果奖励，持续到当前轮次结束，然后它会再次恢复飞行能力。也可以通过一次机会效果来使飞行NPC暂时落地。
在处于危机状态时，该NPC失去所有飞行能力带来的效果奖励。"
强化伤害,选择该NPC的一种攻击方式或法术，使其可以造成5点额外伤害。若你多次习得此技能，那么必须要选择不同的造成伤害的方式。若要使用此技能强化带有多重攻击特性的攻击方式，需要格外慎重。
强化防御,"选择以下选项之一：
◆NPC获得+2物防修正值和+1魔防修正值。
◆NPC获得+1物防修正值和+2魔防修正值。
此技能只能选择两次，且效果可以和装备或其他技能提供的效果叠加。"
强化生命,"NPC的最大生命值增加10点。
此技能特别适合防御较低或有伤害弱点，需要弥补劣势的生物。"
强化先攻（限制）,NPC获得+4先攻修正值。
反应,"NPC会对特定的触发条件做出反应（如攻击未能命中，或被攻击性法术命中）。示例：
1、受到近战攻击但未被命中时，进行攻击。
2、被攻击性法术命中时，对施法者造成少量伤害。
3、受到伤害时恢复一定精神值。
4在受到了弱点所对应类型的伤害后，改变相性。"
特殊攻击,"选择一种NPC的攻击方式，为其添加一个特殊效果。示例：
◆此攻击获得多重攻击(2)特性。
◆此攻击针对目标的魔防，而不是物防。
◆对目标施加一种异常状态。
◆目标被困住、吞食或俘获。挣脱需要完成一个格数不定，通常是4~6格的命刻，但对该NPC造成其弱点所对应类型的伤害时也会填充1格命刻。
◆此攻击对处于异常状态的目标造成更多伤害。
◆此攻击可以让NPC恢复等同于其造成伤害量一半的生命值。
◆若目标处于一种特定的异常状态，那么此攻击将会施加额外的负面效果。
◆此攻击可以禁止目标在下一回合中执行一种特定类型的行动。
◆此攻击可以为NPC提供特定的正面效果，持续到他的下一回合开始时。
这些效果强弱各不相同。当你为此技能选择一个效果时，请将其与生物图鉴里其他等级相近的生物进行比较，看看是否合适。此外也要考虑在特定情况下此攻击是否有效。"
专精,"从以下选项中选择一项：
1、NPC的所有命中检定获得+3修正值。
2、NPC的所有施法检定获得+3修正值。
3、NPC在特定情况下的对抗检定获得+3修正值。
此技能最多可选择三次，但每次需选择不同的检定类型。"
施法者,"从以下选项中选择一项：
◆NPC学会一个法术，且最大精神值增加10点。
◆NPC学会两个法术。
NPC可以从职业法术中，或从下一页的NPC法术列表中学习法术。你还可以为NPC设计自定义法术。NPC在施放攻击性法术（⚡）时，施法检定可以使用【力量+意志】或【洞察+意志】。"
异常状态免疫,NPC对你所选的任意两种异常状态免疫。
特殊行动,"NPC可以执行技能行动来产生一种特殊效果。示例：
◆NPC的下一次攻击或法术会造成10点额外伤害。
◆NPC更改“姿态”，改变其伤害相性。
◆NPC召唤增援（这些增援敌人力量应该非常弱）。"
使用装备（限制）,NPC获得一个饰品栏位，一个防具栏位，一个主手栏位，以及一个副手栏位。小兵敌人只能装备基础物品，精英和大将敌人则更常装备稀有物品。若NPC失去一件装备的武器，那么与其关联的基础攻击所绑定的技能也应转换为徒手攻击。
