法术,MP消耗,目标,持续时间,效果
范围异常,20,特殊,瞬发,选择你可见的任意数量的生物，对他们施加（选择一项：迟缓、动摇、虚弱或眩晕）
吐息⚡,5,一个生物,瞬发,你对目标造成【HR+10】的（选择伤害类型）伤害
诅咒⚡,5,一个生物,瞬发,对目标施加（选择一项：迟缓、动摇、虚弱或眩晕）
恶毒诅咒⚡,10,一个生物,瞬发,对目标施加（选择两项：迟缓、动摇、虚弱或眩晕）
诅咒吐息⚡,10,一个生物,瞬发,你对目标造成【HR+15】的（选择伤害类型）伤害，并对目标施加（选择一项：迟缓、动摇、虚弱或眩晕）
毁灭,30,特殊,瞬发,"你对你所能看见的每个敌人均造成30点（选择伤害类型）伤害。
此法术仅供等级大于等于30级的精英和大将敌人学习，且此类生物仅能在其每一轮的最后一个回合施放此法术（这能够形成可被玩家预测的行动模式）。"
舔舐伤口,5,自身,瞬发,你恢复20点生命值。若你的等级大于等于20级，则恢复量提升为30点。若你的等级大于等于40级，则恢复量提升为40点。若你的等级大于等于60级，则恢复量提升为50点。
偷取生命⚡,10,一个生物,瞬发,你对目标造成【HR+15】的（选择伤害类型）伤害，然后自身恢复相当于造成的总伤害量一半的生命值。
偷取精神⚡,10,一个生物,瞬发,你对目标造成【HR+15】的（选择伤害类型）伤害，然后自身恢复相当于造成的总伤害量一半的精神值。
侵染⚡,10 ×目标数,至多三个生物,瞬发,对每个目标施加中毒。
抢攻,20,一个生物,瞬发,目标可以使用装备的武器进行一次顺势攻击（若目标为NPC则进行基础攻击)。
暴怒⚡,10×目标数,至多三个生物,瞬发,对每个目标施加激怒。
硬壳,10,自身,场景,你对物理伤害获得抵抗相性，持续至法术效果结束。
战吼,10×目标数,至多三个生物,场景,每个目标的命中检定获得+1修正值，持续至法术效果结束。
削弱⚡,10,一个生物,场景,任何将会造成（选择伤害类型）伤害的来源均会对目标造成5点额外伤害，持续至法术效果结束。
