local_id,effect_name,category,applies_to,price,bonus_accuracy,bonus_def,bonus_mdef,bonus_init,multiattack_count,description,source_book
1,迟缓抗性,防御性效果,weapon,500,,,,,,你对迟缓免疫,核心规则
2,动摇抗性,防御性效果,weapon,500,,,,,,你对动摇免疫,核心规则
3,虚弱抗性,防御性效果,weapon,500,,,,,,你对虚弱免疫,核心规则
4,眩晕抗性,防御性效果,weapon,500,,,,,,你对眩晕免疫,核心规则
5,激怒抗性,防御性效果,weapon,750,,,,,,你对激怒免疫,核心规则
6,中毒抗性,防御性效果,weapon,750,,,,,,你对中毒免疫,核心规则
7,抵抗-雷,防御性效果,weapon,700,,,,,,你对雷系伤害获得抵抗相性,核心规则
8,抵抗-风,防御性效果,weapon,700,,,,,,你对风系伤害获得抵抗相性,核心规则
9,抵抗-冰,防御性效果,weapon,700,,,,,,你对冰系伤害获得抵抗相性,核心规则
10,抵抗-火,防御性效果,weapon,700,,,,,,你对火系伤害获得抵抗相性,核心规则
11,抵抗-土,防御性效果,weapon,700,,,,,,你对土系伤害获得抵抗相性,核心规则
12,抵抗-毒,防御性效果,weapon,700,,,,,,你对毒系伤害获得抵抗相性,核心规则
13,抵抗-光,防御性效果,weapon,700,,,,,,你对光系伤害获得抵抗相性,核心规则
14,抵抗-暗,防御性效果,weapon,700,,,,,,你对暗系伤害获得抵抗相性,核心规则
15,护身符,防御性效果,weapon,800,,1,,,,你的魔防+1,核心规则
16,坚守,防御性效果,weapon,800,,,1,,,你的物防+1,核心规则
17,双重抵抗,防御性效果,weapon,1000,,,,,,你对两种伤害类型（非物理伤害）获得抵抗相性,核心规则
18,断剑,防御性效果,weapon,1000,,,,,,你对物理伤害获得抵抗相性,核心规则
19,免疫-雷,防御性效果,weapon,1500,,,,,,你对雷系伤害免疫,核心规则
20,免疫-风,防御性效果,weapon,1500,,,,,,你对风系伤害免疫,核心规则
21,免疫-冰,防御性效果,weapon,1500,,,,,,你对冰系伤害免疫,核心规则
22,免疫-火,防御性效果,weapon,1500,,,,,,你对火系伤害免疫,核心规则
23,免疫-土,防御性效果,weapon,1500,,,,,,你对土系伤害免疫,核心规则
24,免疫-毒,防御性效果,weapon,1500,,,,,,你对毒系伤害免疫,核心规则
25,免疫-光,防御性效果,weapon,1500,,,,,,你对光系伤害免疫,核心规则
26,免疫-暗,防御性效果,weapon,1500,,,,,,你对暗系伤害免疫,核心规则
27,全能护盾,防御性效果,weapon,2000,,1,1,,,你的物防和魔防+1,核心规则
28,完美体魄,防御性效果,weapon,2000,,,,,,你对所有异常状态免疫,核心规则
29,魔力,攻击性效果,weapon,100,,,,,,武器攻击针对魔防而不是物防,核心规则
30,野兽猎人,攻击性效果,weapon,300,,,,,,武器针对野兽造成5额外伤害,核心规则
31,构装体猎人,攻击性效果,weapon,300,,,,,,武器针对构装体造成5额外伤害,核心规则
32,恶魔猎人,攻击性效果,weapon,300,,,,,,武器针对恶魔造成5额外伤害,核心规则
33,元素猎人,攻击性效果,weapon,300,,,,,,武器针对元素造成5额外伤害,核心规则
34,猎人魔,攻击性效果,weapon,300,,,,,,武器针对人形NPC造成5额外伤害,核心规则
35,怪物猎人,攻击性效果,weapon,300,,,,,,武器针对怪物造成5额外伤害,核心规则
36,植物猎人,攻击性效果,weapon,300,,,,,,武器针对植物造成5额外伤害,核心规则
37,不死族猎人,攻击性效果,weapon,300,,,,,,武器针对不死族造成5额外伤害,核心规则
38,穿透,攻击性效果,weapon,400,,,,,,武器造成的伤害可以无视抵抗,核心规则
39,双重猎人,攻击性效果,weapon,500,,,,,,武器针对两种特定物种的生物造成5额外伤害,核心规则
40,多重攻击,攻击性效果,weapon,1000,,,,,2,这件武器的攻击具有多重2的特性,核心规则
41,施加迟缓,攻击性效果,weapon,1500,,,,,,这件武器对于命中的每个目标施加迟缓,核心规则
42,施加动摇,攻击性效果,weapon,1500,,,,,,这件武器对于命中的每个目标施加动摇,核心规则
43,施加虚弱,攻击性效果,weapon,1500,,,,,,这件武器对于命中的每个目标施加虚弱,核心规则
44,施加眩晕,攻击性效果,weapon,1500,,,,,,这件武器对于命中的每个目标施加眩晕,核心规则
45,施加强力异常-激怒,攻击性效果,weapon,2000,,,,,,这件武器对于命中的每个目标施加激怒,核心规则
46,施加强力异常-中毒,攻击性效果,weapon,2000,,,,,,这件武器对于命中的每个目标施加中毒,核心规则
47,迟缓抗性,防御性效果,armor/shield,500,,,,,,你对迟缓免疫,核心规则
48,动摇抗性,防御性效果,armor/shield,500,,,,,,你对动摇免疫,核心规则
49,虚弱抗性,防御性效果,armor/shield,500,,,,,,你对虚弱免疫,核心规则
